method,history,ahead,loss,mae,phase
CNN,18,15,0.545275270938873,0.525554060935974,validation
LSTM,18,15,0.535552024841309,0.524057745933533,validation
CNN,19,15,0.545416712760925,0.525467872619629,validation
LSTM,19,15,0.532730996608734,0.521458685398102,validation
CNN,20,15,0.539084136486054,0.520732462406158,validation
LSTM,20,15,0.533943712711334,0.522822082042694,validation
CNN,21,15,0.543384552001953,0.523806512355804,validation
LSTM,21,15,0.542716085910797,0.530641853809357,validation
CNN,22,15,0.553705632686615,0.530235290527344,validation
LSTM,22,15,0.533794105052948,0.522103607654572,validation
CNN,23,15,0.538856685161591,0.521836340427399,validation
LSTM,23,15,0.543313384056091,0.530145227909088,validation
CNN,24,15,0.536932826042175,0.521024763584137,validation
LSTM,24,15,0.537361323833466,0.525284469127655,validation
CNN,25,15,0.552528202533722,0.530830144882202,validation
LSTM,25,15,0.536658883094788,0.525020360946655,validation
CNN,26,15,0.672339618206024,0.585020303726196,validation
LSTM,26,15,0.533792674541473,0.52236795425415,validation
CNN,27,15,0.595875859260559,0.551105499267578,validation
LSTM,27,15,0.531527757644653,0.520978450775147,validation
CNN,28,15,0.563825368881226,0.537017941474915,validation
LSTM,28,15,0.539428532123566,0.5271275639534,validation
CNN,29,15,0.55864429473877,0.533856630325317,validation
LSTM,29,15,0.536181449890137,0.524972379207611,validation
CNN,30,15,0.547269821166992,0.526398837566376,validation
LSTM,30,15,0.530215084552765,0.520065367221832,validation
CNN,31,15,0.674067974090576,0.58089691400528,validation
LSTM,31,15,0.536175310611725,0.524119913578033,validation
CNN,32,15,0.546324253082275,0.526107907295227,validation
LSTM,32,15,0.532727777957916,0.522275626659393,validation
CNN,33,15,1.06993412971497,0.69238293170929,validation
LSTM,33,15,0.542701542377472,0.528654396533966,validation
CNN,34,15,0.555572628974915,0.531618177890778,validation
LSTM,34,15,0.530060470104218,0.520034968852997,validation
CNN,35,15,0.54674619436264,0.526943564414978,validation
LSTM,35,15,0.530649721622467,0.520771741867065,validation
CNN,36,15,0.543522953987122,0.523823738098145,validation
LSTM,36,15,0.536533117294312,0.525299906730652,validation
CNN,37,15,0.545150220394135,0.525319039821625,validation
LSTM,37,15,0.541546404361725,0.527558922767639,validation
CNN,38,15,0.558140635490418,0.53368753194809,validation
LSTM,38,15,0.53373384475708,0.522869348526001,validation
CNN,18,15,0.809330821037293,0.361638456583023,testing
LSTM,18,15,0.685795545578003,0.335699528455734,testing
CNN,19,15,0.820793330669403,0.367690682411194,testing
LSTM,19,15,0.704579889774323,0.343812227249146,testing
CNN,20,15,0.753530621528626,0.345235496759415,testing
LSTM,20,15,0.690268158912659,0.324811100959778,testing
CNN,21,15,0.746803522109985,0.351162433624268,testing
LSTM,21,15,0.698358833789825,0.326225191354752,testing
CNN,22,15,0.802545845508575,0.368894726037979,testing
LSTM,22,15,0.686654806137085,0.329501628875732,testing
CNN,23,15,0.714622855186462,0.33816385269165,testing
LSTM,23,15,0.701913714408875,0.333762735128403,testing
CNN,24,15,0.725953996181488,0.339814931154251,testing
LSTM,24,15,0.690589725971222,0.330298572778702,testing
CNN,25,15,0.783181607723236,0.366132020950317,testing
LSTM,25,15,0.688694179058075,0.339954853057861,testing
CNN,26,15,1.86378622055054,0.589247286319733,testing
LSTM,26,15,0.690167486667633,0.333577960729599,testing
CNN,27,15,1.47884607315063,0.483688771724701,testing
LSTM,27,15,0.698602497577667,0.350355744361877,testing
CNN,28,15,0.904760718345642,0.399850338697433,testing
LSTM,28,15,0.688628375530243,0.327022820711136,testing
CNN,29,15,0.951933741569519,0.400299251079559,testing
LSTM,29,15,0.690489590167999,0.334518879652023,testing
CNN,30,15,0.790850162506104,0.362936049699783,testing
LSTM,30,15,0.690597236156464,0.331946909427643,testing
CNN,31,15,1.41768932342529,0.526748895645142,testing
LSTM,31,15,0.692635357379913,0.345001071691513,testing
CNN,32,15,0.792298257350922,0.364099264144897,testing
LSTM,32,15,0.689422249794006,0.334961891174316,testing
CNN,33,15,4.32842588424683,0.860160827636719,testing
LSTM,33,15,0.702968060970306,0.343454360961914,testing
CNN,34,15,0.795949280261993,0.368427515029907,testing
LSTM,34,15,0.685798943042755,0.328681141138077,testing
CNN,35,15,0.836280286312103,0.376076608896256,testing
LSTM,35,15,0.691894114017487,0.332523226737976,testing
CNN,36,15,0.805939435958862,0.364768087863922,testing
LSTM,36,15,0.688513875007629,0.321680039167404,testing
CNN,37,15,0.848513424396515,0.378357112407684,testing
LSTM,37,15,0.686903417110443,0.322624206542969,testing
CNN,38,15,0.972187101840973,0.421714544296265,testing
LSTM,38,15,0.687236428260803,0.322131484746933,testing
